Nombre;id del curso;URL_lMS;;;;;;;;;;;;;;;;;;;;;
Atracción estratégica del talento;course-v1:ISILGO+158_AET+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+158_AET+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de Fraude en el E-Commerce;course-v1:ISILGO+158_GF+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+158_GF+2022/course/;;;;;;;;;;;;;;;;;;;;;
Growth Marketing;course-v1:ISILGO+159_GM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+159_GM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Talent engagement: Retención del talento;course-v1:ISILGO+159_TERT+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+159_TERT+2022/course/;;;;;;;;;;;;;;;;;;;;;
Logística digital;course-v1:ISILGO+15_LD+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+15_LD+2021/course/;;;;;;;;;;;;;;;;;;;;;
Estrategia y gestión de la cadena de suministros;course-v1:ISILGO+160_EGCS+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+160_EGCS+2022/course/;;;;;;;;;;;;;;;;;;;;;
Mindset Emprendedor para profesionales de servicios;course-v1:ISILGO+160_ME+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+160_ME+2022/course/;;;;;;;;;;;;;;;;;;;;;
Cómo diseñar contenido de alto impacto para redes sociales;course-v1:ISILGO+161_CDCA+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+161_CDCA+2022/course/;;;;;;;;;;;;;;;;;;;;;
Factores de éxito en Real Estate;course-v1:ISILGO+161_FE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+161_FE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Desarrollo de proyectos con enfoque ágil;course-v1:ISILGO+162-DPEA+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+162-DPEA+2022/course/;;;;;;;;;;;;;;;;;;;;;
¿Cómo iniciar un emprendimiento exitoso?;course-v1:ISILGO+163-CIEE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+163-CIEE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Knowledge Management: Gestión del conocimiento;course-v1:ISILGO+164-KMGC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+164-KMGC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Psicología y cultura organizacional;course-v1:ISILGO+165-PCO+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+165-PCO+2022/course/;;;;;;;;;;;;;;;;;;;;;
Optimiza la gestión de operaciones en tu empresa;course-v1:ISILGO+166-OGOE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+166-OGOE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Planning estratégico de campañas publicitarias;course-v1:ISILGO+167-PECP+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+167-PECP+2022/course/;;;;;;;;;;;;;;;;;;;;;
Innovación para el futuro y coolhunting;course-v1:ISILGO+168-IFC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+168-IFC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Diseñando el canal de distribución para tu negocio;course-v1:ISILGO+169-DCDN+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+169-DCDN+2022/course/;;;;;;;;;;;;;;;;;;;;;
Creatividad gráfica publicitaria;course-v1:ISILGO+16_CGP+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+16_CGP+2021/course/;;;;;;;;;;;;;;;;;;;;;
Dirección de negocios globales;course-v1:ISILGO+170-DCG+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+170-DCG+2022/course/;;;;;;;;;;;;;;;;;;;;;
Estrategia de precios para productos y servicios de exportación;course-v1:ISILGO+171-EPPS+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+171-EPPS+2022/course/;;;;;;;;;;;;;;;;;;;;;
Técnicas de investigación y estudios cualitativos;course-v1:ISILGO+172_TIEC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+172_TIEC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Inteligencia comercial para las exportaciones;course-v1:ISILGO+173-ICE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+173-ICE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Metodologías de investigación de mercados globales;course-v1:ISILGO+174-MIMG+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+174-MIMG+2022/course/;;;;;;;;;;;;;;;;;;;;;
Identifica los mercados internacionales para tu negocio;course-v1:ISILGO+175-IMIN+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+175-IMIN+2022/course/;;;;;;;;;;;;;;;;;;;;;
Aprende a gestionar logística internacional;course-v1:ISILGO+176-AGLI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+176-AGLI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Cómo construir una estrategia de Marketing global;course-v1:ISILGO+177-CCEM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+177-CCEM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Sistemas de distribución para negocios internacionales;course-v1:ISILGO+178-SDNI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+178-SDNI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Aprende todo sobre los INCOTERMS 2020;course-v1:ISILGO+179-ASI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+179-ASI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Marketing de servicios;course-v1:ISILGO+17_MS+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+17_MS+2021/course/;;;;;;;;;;;;;;;;;;;;;
Psicología del consumidor como estrategia de marketing;course-v1:ISILGO+180_PCEM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+180_PCEM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Decisiones de Financiamiento y Análisis del Mercado Bursátil;course-v1:ISILGO+181_DFAM+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+181_DFAM+2023/course/;;;;;;;;;;;;;;;;;;;;;
Cómo crear una campaña publicitaria que trascienda;course-v1:ISILGO+181_KTX+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+181_KTX+2022/course/;;;;;;;;;;;;;;;;;;;;;
Dirección de Talento Humano;course-v1:ISILGO+182_DTH+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+182_DTH+2023/course/;;;;;;;;;;;;;;;;;;;;;
El Modelo de la Gestión por Competencias;course-v1:ISILGO+183_MGC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+183_MGC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Instrumentos Financieros;course-v1:ISILGO+184_FIF+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+184_FIF+2023/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de Remuneraciones Salariales;course-v1:ISILGO+185_GRS+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+185_GRS+2023/course/;;;;;;;;;;;;;;;;;;;;;
Gestión y Actividades de la Logística Externa;course-v1:ISILGO+186_GALE+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+186_GALE+2023/course/;;;;;;;;;;;;;;;;;;;;;
La Comunicación Integrada del Marketing;course-v1:ISILGO+187_CIM+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+187_CIM+2023/course/;;;;;;;;;;;;;;;;;;;;;
